index,syst,chain,tm1,tm2,min,max,pdb
 285,4k3q_E_A-B-E_0,A,0.214,0.189,0.189,0.214,4k3q
 286,6cwp_F_A-B-F_0,A,0.283,0.284,0.283,0.284,6cwp
 287,6cwp_F_A-B-F_0,B,0.290,0.287,0.287,0.290,6cwp
 288,1a7c_B_A-B-C_0,A,0.291,0.253,0.253,0.291,1a7c
 289,5eyz_E_A-E_0,A,0.115,0.269,0.115,0.269,5eyz
 290,1sdz_B_A-B_0,A,0.174,0.398,0.174,0.398,1sdz
 291,1awr_J_D-J_5,D,0.198,0.304,0.198,0.304,1awr
 292,4cic_Q_A-B-Q_0,A,0.209,0.370,0.209,0.370,4cic
 293,4cic_Q_A-B-Q_0,B,0.205,0.364,0.205,0.364,4cic
 294,2g30_S_A-P-S_0,A,0.263,0.315,0.263,0.315,2g30
 295,5fow_E_A-E_0,A,0.258,0.318,0.258,0.318,5fow
 296,3sxu_C_A-B-C_0,A,0.216,0.376,0.216,0.376,3sxu
 297,4ynl_C_A-B-C-D_0,A,0.141,0.416,0.141,0.416,4ynl
 298,4ynl_C_A-B-C-D_0,B,0.141,0.417,0.141,0.417,4ynl
 299,3woo_C_A-B-C-D_0,A,0.342,0.182,0.182,0.342,3woo
 300,3nih_B_A-B_0,A,0.108,0.275,0.108,0.275,3nih
 301,4pxm_D_A-B-C-D_0,B,0.281,0.352,0.281,0.352,4pxm
 302,4iim_E_A-B-C-D-E_0,B,0.094,0.321,0.094,0.321,4iim
 303,1oby_Q_A-B-P-Q_0,A,0.105,0.294,0.105,0.294,1oby
 304,1oby_Q_A-B-P-Q_0,B,0.104,0.286,0.104,0.286,1oby
 305,3nij_B_A-B_0,A,0.107,0.269,0.107,0.269,3nij
 306,4mz6_A_A-C-E_0,E,0.397,0.306,0.306,0.397,4mz6
 307,4ny3_C_A-C_0,A,0.310,0.312,0.310,0.312,4ny3
 308,5iag_D_A-B-D_0,A,0.257,0.301,0.257,0.301,5iag
 309,3sjk_B_A-B_0,A,0.215,0.308,0.215,0.308,3sjk
 310,4faf_D_A-B-D_0,A,0.160,0.357,0.160,0.357,4faf
 311,4faf_D_A-B-D_0,B,0.177,0.384,0.177,0.384,4faf
 312,1b32_B_A-B_0,A,0.321,0.217,0.217,0.321,1b32
 313,3fp4_Q_A-Q_0,A,0.528,0.358,0.358,0.528,3fp4
 314,4x2h_C_A-B-C_0,A,0.214,0.297,0.214,0.297,4x2h
 315,1kyd_P_A-P_0,A,0.305,0.351,0.305,0.351,1kyd
 316,4ztd_F_A-B-C-D-E-F_0,C,0.195,0.221,0.195,0.221,4ztd
 317,4k3m_E_A-B-E_0,A,0.215,0.189,0.189,0.215,4k3m
 318,3ufm_B_A-B_0,A,0.254,0.313,0.254,0.313,3ufm
 319,4ezz_B_A-B_1,A,0.200,0.260,0.200,0.260,4ezz
 320,3cww_E_A-B-D-E_0,A,0.355,0.151,0.151,0.355,3cww
 321,3agy_C_A-B-C-D-F_0,A,0.189,0.274,0.189,0.274,3agy
 322,2v5f_X_A-X_0,A,0.270,0.758,0.270,0.758,2v5f
 323,5m5v_G_A-E-G-I_0,A,0.302,0.268,0.268,0.302,5m5v
 324,1yti_I_A-I_0,A,0.171,0.384,0.171,0.384,1yti
 325,1yti_I_A-I_0,B,0.171,0.384,0.171,0.384,1yti
 326,5wir_D_A-B-C-D_0,B,0.319,0.432,0.319,0.432,5wir
