index,syst,chain,tm1,tm2,min,max,pdb
 311,3sxu_C_A-B-C_0,A,0.295,0.259,0.259,0.295,3sxu
 312,5tu5_B_A-B_0,A,0.434,0.222,0.222,0.434,5tu5
 313,4ztd_F_A-B-C-D-E-F_0,C,0.389,0.216,0.216,0.389,4ztd
 314,4qbr_P_A-P_0,A,0.331,0.307,0.307,0.331,4qbr
 315,5fow_E_A-E_0,A,0.310,0.212,0.212,0.310,5fow
 316,2foj_B_A-B_0,A,0.379,0.348,0.348,0.379,2foj
 317,2dze_X_A-B-X_0,A,0.386,0.327,0.327,0.386,2dze
 318,2dze_X_A-B-X_0,B,0.374,0.317,0.317,0.374,2dze
 319,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.247,0.297,0.247,0.297,1xb0
 320,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.251,0.299,0.251,0.299,1xb0
 321,3ivq_D_B-D_1,B,0.382,0.349,0.349,0.382,3ivq
 322,1awr_J_D-J_5,D,0.350,0.284,0.284,0.350,1awr
 323,2zjd_D_C-D_5,C,0.297,0.296,0.296,0.297,2zjd
 324,4hxj_C_A-C_0,A,0.223,0.354,0.223,0.354,4hxj
 325,5wun_C_A-B-C_0,A,0.270,0.113,0.113,0.270,5wun
 326,4ba3_B_A-B_0,A,0.268,0.111,0.111,0.268,4ba3
 327,4ezy_B_A-B_2,A,0.361,0.236,0.236,0.361,4ezy
 328,3ufm_B_A-B_0,A,0.298,0.193,0.193,0.298,3ufm
 329,3shb_B_A-B_0,A,0.236,0.334,0.236,0.334,3shb
 330,5jiu_C_A-B-C-D_0,A,0.350,0.243,0.243,0.350,5jiu
 331,4z0u_D_A-D_0,A,0.348,0.295,0.295,0.348,4z0u
 332,2nph_S_A-B-S-T_0,A,0.297,0.340,0.297,0.340,2nph
 333,2nph_S_A-B-S-T_0,B,0.292,0.333,0.292,0.333,2nph
 334,4c2c_B_A-B-C_0,A,0.316,0.120,0.120,0.316,4c2c
 335,3ebb_F_A-B-E-F_0,B,0.271,0.165,0.165,0.271,3ebb
 336,3gq1_C_A-C_0,A,0.230,0.296,0.230,0.296,3gq1
 337,4j82_C_A-C_0,A,0.356,0.183,0.183,0.356,4j82
 338,4es0_C_A-C_0,A,0.341,0.180,0.180,0.341,4es0
 339,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.242,0.285,0.242,0.285,2y1l
